Container ID;Container type;Container mass (kg)
1.0;1.0;2134.0
2.0;1.0;3455.0
3.0;1.0;1866.0
4.0;1.0;1699.0
5.0;1.0;3500.0
6.0;1.0;3332.0
7.0;1.0;2578.0
8.0;1.0;2315.0
9.0;1.0;1888.0
10.0;1.0;1786.0
11.0;1.0;3277.0
12.0;1.0;2987.0
13.0;1.0;2534.0
14.0;1.0;2111.0
15.0;1.0;2607.0
16.0;1.0;1566.0
17.0;1.0;1765.0
18.0;1.0;1946.0
19.0;1.0;1732.0
20.0;1.0;1641.0
21.0;2.0;1800.0
22.0;2.0;986.0
23.0;2.0;873.0
24.0;2.0;1764.0
25.0;2.0;1239.0
26.0;2.0;1487.0
27.0;2.0;769.0
28.0;2.0;836.0
29.0;2.0;659.0
30.0;2.0;765.0
