Container ID;Container type;Container mass (kg);val;0
1.0;1.0;2134.0;1.0;1
2.0;1.0;3455.0;1.0;0
3.0;1.0;1866.0;1.0;1
4.0;1.0;1699.0;1.0;0
5.0;1.0;3500.0;1.0;0
6.0;1.0;3332.0;1.0;1
7.0;1.0;2578.0;1.0;1
8.0;1.0;2315.0;1.0;1
9.0;1.0;1888.0;1.0;1
10.0;1.0;1786.0;1.0;1
11.0;1.0;3277.0;1.0;1
12.0;1.0;2987.0;1.0;1
13.0;1.0;2534.0;1.0;1
14.0;1.0;2111.0;1.0;0
15.0;1.0;2607.0;1.0;0
16.0;1.0;1566.0;1.0;0
17.0;1.0;1765.0;1.0;1
18.0;1.0;1946.0;1.0;0
19.0;1.0;1732.0;1.0;1
20.0;1.0;1641.0;1.0;0
21.0;2.0;1800.0;0.5;0
22.0;2.0;986.0;0.5;0
23.0;2.0;873.0;0.5;1
24.0;2.0;1764.0;0.5;0
25.0;2.0;1239.0;0.5;1
26.0;2.0;1487.0;0.5;0
27.0;2.0;769.0;0.5;0
28.0;2.0;836.0;0.5;0
29.0;2.0;659.0;0.5;0
30.0;2.0;765.0;0.5;1
31.0;2.0;303.0;0.5;1
32.0;1.0;775.0;1.0;1
33.0;1.0;335.0;1.0;0
34.0;2.0;345.0;0.5;0
35.0;2.0;322.0;0.5;1
36.0;2.0;392.0;0.5;1
37.0;2.0;242.0;0.5;1
38.0;1.0;742.0;1.0;1
39.0;1.0;742.0;1.0;1
40.0;1.0;722.0;1.0;1
41.0;3.0;1722.0;2.0;0
42.0;3.0;2722.0;2.0;1
43.0;3.0;2122.0;2.0;1
